UID,站名,可借
KHH501203109,YouBike2.0_博愛國小,25
KHH501203110,YouBike2.0_高雄車站(西側),35
KHH501203111,YouBike2.0_三民區公所,2
KHH501203112,YouBike2.0_寶安里活動中心,5
KHH501203113,YouBike2.0_十全康平街口,8
KHH501203114,YouBike2.0_自由察哈爾一街口,50
KHH501203115,YouBike2.0_正義車站(鐵道街),4
KHH501203116,YouBike2.0_南區環保公園,17
KHH501203117,YouBike2.0_中山河北一路口,5
KHH501203118,YouBike2.0_鐵道復興一路口,4
KHH501203119,YouBike2.0_鐵道九如一路381巷口,25
KHH501203120,YouBike2.0_本和公園,20
KHH501203121,YouBike2.0_鐵道三中庸街口,12
KHH501203122,YouBike2.0_中華橫巷力行路口,9
KHH501203123,YouBike2.0_大豐大豐二路19巷口,23
KHH501203124,YouBike2.0_同盟孝順街,18
KHH501203125,YouBike2.0_同盟大連街,12
KHH501203126,YouBike2.0_鐵道建國一路62巷口,10
KHH501203127,YouBike2.0_高雄第一殯儀館(本館路600巷),19
KHH501203128,YouBike2.0_高雄第一殯儀館(家屬服務中心),13
KHH501203129,YouBike2.0_澄清澄明街口,6
KHH501203130,YouBike2.0_建興正忠路口,10
KHH501203131,YouBike2.0_榕樹公園,5
KHH501203132,YouBike2.0_天祥天祥一路142巷口,10
KHH501203133,YouBike2.0_秋元皓東路口,4
KHH501203134,YouBike2.0_同盟合江街口,10
KHH501203135,YouBike2.0_鐵道平等路口,0
KHH501203136,YouBike2.0_灣愛公園,7
KHH501203137,YouBike2.0_三民區民眾活動中心,24
KHH501203138,YouBike2.0_鐵道憲政路138巷口,6
KHH501203139,YouBike2.0_民族自忠街口,11
KHH501203140,YouBike2.0_博愛九如二路口,38
KHH501203141,YouBike2.0_鐵道同盟三路口,13
KHH501203142,YouBike2.0_高雄車站(東南側),65
KHH501203143,YouBike2.0_大順鐵道一街口,25
KHH501203144,YouBike2.0_大順寶興路口,24
KHH501203145,YouBike2.0_同盟興安街口,6
KHH501203146,YouBike2.0_三雅新公園,8
KHH501203147,YouBike2.0_彩虹公園,12
KHH501203148,YouBike2.0_平等九如一路口,0
KHH501203149,YouBike2.0_九如一臥龍路口,4
KHH501203150,YouBike2.0_大豐大裕路202巷口,10
KHH501203151,YouBike2.0_九如二青島街口,1
KHH501203152,YouBike2.0_鐵道克武路31巷口,10
KHH501203153,YouBike2.0_正興建興路口,12
KHH501203154,YouBike2.0_明哲明吉路口,4
KHH501203155,YouBike2.0_九如嫩江街口,10
KHH501203156,YouBike2.0_大中一鼎貴路62巷口,6
KHH501203157,YouBike2.0_同協同盟二路口,11
KHH501203158,YouBike2.0_覺民覺民路852巷口,19
KHH501203159,YouBike2.0_中庸公園,18
KHH501203160,YouBike2.0_鼎強鼎強街117巷(東側),18
KHH501203161,YouBike2.0_美都德勝街(西北側),14
KHH501203162,YouBike2.0_安寧站西路口,6
KHH501204001,YouBike2.0_高雄國際會議中心,16
KHH501204002,YouBike2.0_鹽埕國中,26
KHH501204003,YouBike2.0_捷運鹽埕埔站(1號出口),39
KHH501204004,YouBike2.0_公園大成街口,2
KHH501204005,YouBike2.0_北斗抽水站,14
KHH501204007,YouBike2.0_輕軌真愛碼頭站,34
KHH501204008,YouBike2.0_駁二藝術特區(必信街),12
KHH501204009,YouBike2.0_鹽埕立體停車場,0
KHH501204010,YouBike2.0_新樂截流抽水站,0
KHH501204011,YouBike2.0_輕軌文武聖殿站,7
KHH501204012,YouBike2.0_五福建國路口東南側,5
KHH501204013,YouBike2.0_七賢府北路口西側,5
KHH501204014,YouBike2.0_高雄市音樂館,11
KHH501204015,YouBike2.0_大安公園,9
KHH501204016,YouBike2.0_公園二大義街口,4
KHH501204017,YouBike2.0_公園二大勇路口,12
KHH501204018,YouBike2.0_公園二七賢三路口,12
KHH501204020,YouBike2.0_輕軌駁二蓬萊站,8
KHH501204021,YouBike2.0_大義截流站,16
KHH501204022,YouBike2.0_公園二光榮街口,9
KHH501204023,YouBike2.0_七賢大公路口,6
KHH501204024,YouBike2.0_鹽埕市民廣場,0
KHH501204025,YouBike2.0_建國四河西路口,15
KHH501205001,YouBike2.0_高雄文學館,16
KHH501205003,YouBike2.0_東金公園,16
KHH501205004,YouBike2.0_河南自強路口,3
KHH501205005,YouBike2.0_自強民生路口西北側,9
KHH501205006,YouBike2.0_建國國小,9
KHH501205007,YouBike2.0_中正瑞源路口西南側,9
KHH501205008,YouBike2.0_七賢自強路口,23
KHH501205009,YouBike2.0_中山五福路口西北側,6
KHH501205010,YouBike2.0_五福自強路口東南側,8
KHH501205011,YouBike2.0_高雄女中,32
KHH501205012,YouBike2.0_中山青年路口西北側,16
KHH501205013,YouBike2.0_前金國中,12
KHH501205014,YouBike2.0_光復三市中路口,16
KHH501205015,YouBike2.0_自立河北河南二路口(兩側),10
KHH501205018,YouBike2.0_高雄市救國團,15
KHH501205019,YouBike2.0_高雄市政府警察局,28
KHH501205020,YouBike2.0_高雄女中(英雄路口),30
KHH501205021,YouBike2.0_高雄市立大同醫院,4
KHH501205022,YouBike2.0_七賢河東路口,7
KHH501205023,YouBike2.0_五福仁德街口,11
KHH501205025,YouBike2.0_捷運中央公園站(1號出口),0
KHH501205026,YouBike2.0_捷運前金站(4號出口),17
KHH501205027,YouBike2.0_前金國小(成功路),9
KHH501205028,YouBike2.0_捷運前金站(1號出口),15
KHH501205029,YouBike2.0_七賢成功路口東北側,7
KHH501205030,YouBike2.0_立德棒球場(旺盛街),8
KHH501205033,YouBike2.0_行政院南部聯合服務中心(舊址),12
KHH501205034,YouBike2.0_五福成功一路口,26
KHH501205035,YouBike2.0_河南中華三路口,8
KHH501205036,YouBike2.0_國民市中一路口,13
KHH501205037,YouBike2.0_五福文武二街口,12
KHH501205038,YouBike2.0_河南市中一路口,12
KHH501205039,YouBike2.0_七賢新盛一街口,14
KHH501205040,YouBike2.0_河東光復二街口,20
KHH501205041,YouBike2.0_七賢自立一路口,17
KHH501205042,YouBike2.0_成功光復二街口,21
KHH501206001,YouBike2.0_台鐵鳳山站(曹公路),97
KHH501206002,YouBike2.0_清湖公園,13
KHH501206003,YouBike2.0_捷運鳳山站(1號出口),40
KHH501206004,YouBike2.0_文山兒童四公園,0
KHH501206005,YouBike2.0_捷運鳳山國中站(1號出口),35
KHH501206006,YouBike2.0_鳳山商工(文衡路),10
KHH501206007,YouBike2.0_鎮北國小,4
KHH501206008,YouBike2.0_鳳山區公所,8
KHH501206009,YouBike2.0_文澄兒童公園,14
KHH501206010,YouBike2.0_文享文化西路口,21
KHH501206011,YouBike2.0_保安休憩公園,16
KHH501206012,YouBike2.0_曹公國小,16
KHH501206013,YouBike2.0_鳳山行政中心,14
KHH501206014,YouBike2.0_瑞竹兒童公園,8
KHH501206015,YouBike2.0_捷運大東站(1號出口),50
